ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.787431,50,27,10,1965,1987,3661
38208,Gilbert Churchill,6.31612,35,25,10,1968,1987,3661
38635,Arch Woodside,6.811202,33,25,11,1974,1985,3661
38634,William Bearden,6.082786,32,20,11,1976,1986,3661
39839,Yoram Wind,5.637431,31,34,13,1969,1987,3661
39200,Donald Lehmann,5.898087,29,22,10,1972,1987,3661
38226,John Farley,6.328688,29,23,10,1968,1987,3661
66010,Dubinsky Alan,6.00765,27,20,8,1979,1987,3661
40375,John Swan,6.34836,26,21,9,1974,1986,3661
43358,Richard Staelin,5.926229,26,30,8,1971,1987,3661
38597,William Perreault,6.785245,25,18,10,1975,1984,3661
37445,Vijay Mahajan,5.395355,25,35,10,1976,1987,3661
39885,William Darden,6.584426,24,16,8,1971,1987,3661
39031,Morris Holbrook,5.967213,24,18,8,1979,1987,3661
43097,Donald Morrison,6.324863,24,16,7,1965,1987,3661
40722,Charles Futrell,6.536338,24,18,7,1976,1987,3661
41270,Charles Weinberg,6.063387,24,18,8,1975,1987,3661
40811,Jesse Teel,6.400546,23,15,8,1976,1986,3661
41545,David Aaker,6.066393,23,17,11,1969,1987,3661
39738,Robert Green,6.47377,23,19,10,1972,1987,3661
39517,Coskun Samli,7.180327,22,20,10,1969,1987,3661
40226,Joseph Bellizzi,7.852459,21,16,6,1980,1987,3661
41367,Frank Bass,5.893715,21,22,5,1967,1987,3661
41128,Danny Bellenger,6.230874,21,18,9,1973,1987,3661
42591,Jacob Jacoby,6.186885,21,23,6,1971,1986,3661
41133,Noel Capon,6.75765,20,12,6,1972,1987,3661
40687,Roger Kerin,5.805464,20,20,11,1974,1987,3661
40287,Leonard Reid,7.321311,20,14,8,1976,1985,3661
37615,Wayne Desarbo,6.086612,20,16,8,1978,1987,3661
38375,Barry Mason,6.620765,20,21,9,1975,1987,3661
41089,Robert Peterson,5.8,19,14,11,1969,1985,3661
41464,William Dillon,6.746448,19,17,8,1978,1987,3661
44592,Brian Sternthal,6.319945,19,13,3,1973,1987,3661
43968,Orville Walker,6.755464,18,13,6,1972,1987,3661
38176,Charles Lamb,6.774316,18,17,8,1977,1987,3661
39230,John Ryans,8.543169,18,15,11,1968,1987,3661
61626,Venkat Srinivasan,6.104371,18,18,8,1973,1987,3661
40286,Lawrence Soley,7.366939,17,8,6,1980,1987,3661
40426,Thomas Barry,6.446174,17,16,6,1973,1987,3661
40593,Gary Lilien,6.848087,17,10,8,1975,1987,3661
38546,Wesley Johnston,6.933606,17,10,8,1977,1987,3661
37430,George Zinkhan,6.503551,17,14,7,1983,1987,3661
43214,Robert Lusch,6.263114,17,13,8,1976,1987,3661
44599,John Summers,6.736612,17,12,3,1970,1987,3661
43805,Louis Stern,6.329781,16,17,5,1971,1987,3661
37701,William Moore,5.949453,16,15,7,1979,1987,3661
37825,Bernard Taylor,8.899726,16,11,4,1976,1985,3661
38077,Ian Mitroff,9.685519,16,6,5,1973,1984,3661
38687,Richard Durand,6.087431,16,16,7,1975,1985,3661
38720,Del Hawkins,6.963661,16,9,7,1972,1987,3661
40463,Thomas Robertson,6.371311,16,9,6,1968,1986,3661
39779,Claes Fornell,6.154371,16,12,5,1978,1987,3661
39670,Doyle Peter,7.6653,15,9,9,1975,1986,3661
39202,Shelby Hunt,6.608743,15,10,10,1972,1987,3661
40314,A Parasuraman,6.294262,15,18,6,1977,1987,3661
40175,Donald Jackson,7.605191,15,17,10,1975,1987,3661
38677,Vithala Rao,6.184699,15,13,7,1969,1987,3661
38568,Ronald Anderson,6.502459,15,7,8,1977,1986,3661
38161,Richard Olshavsky,6.242076,15,16,5,1972,1987,3661
43274,David Ricks,7.04153,15,12,3,1971,1986,3661
42866,Frank Ronald,6.179234,15,13,2,1964,1979,3661
41557,Samuel Craig,6.195355,15,10,6,1973,1986,3661
42094,Terence Shimp,6.224316,15,14,7,1976,1987,3661
44469,Gerald Albaum,6.400273,15,9,8,1973,1987,3661
44703,Alice Tybout,6.078688,15,12,3,1974,1987,3661
70520,Tamer Salih,7.568579,15,13,6,1979,1987,3661
50974,Lee Beach,17.518579,14,19,2,1976,1986,3661
44795,Allan Shocker,6.154098,14,17,7,1973,1987,3661
42169,Fred Reynolds,6.566939,14,9,6,1971,1983,3661
42398,Myron Gable,7.376502,14,17,5,1974,1987,3661
41173,Warren French,6.716393,14,15,10,1972,1987,3661
40891,William Locander,6.886612,14,12,8,1975,1987,3661
42600,Jerome Kernan,6.430874,14,14,5,1972,1987,3661
38449,Parker Lessig,6.857103,14,10,6,1971,1987,3661
38669,Hiram Barksdale,7.001912,14,15,8,1971,1987,3661
38625,John Ivancevich,7.112295,14,9,8,1970,1987,3661
39832,Asc Ehrenberg,10.103005,14,8,5,1965,1987,3661
39213,James Hulbert,6.431147,14,10,7,1971,1987,3661
39233,Erdener Kaynak,7.537431,13,12,5,1981,1987,3661
40570,Michael Levy,6.439617,13,9,7,1980,1987,3661
42487,Doyle Weiss,6.857377,13,8,3,1970,1986,3661
43254,Ambar Rao,7.519398,13,13,5,1972,1987,3661
41168,Betsy Gelb,7.060382,13,8,8,1973,1987,3661
41115,William Pride,6.704918,13,12,6,1977,1986,3661
42346,Ben Enis,6.846994,13,14,7,1969,1987,3661
45447,William Massy,6.703278,13,9,3,1964,1979,3661
44625,Robert Blattberg,6.635245,13,10,5,1970,1987,3661
44641,Bobby Calder,6.796174,13,10,4,1977,1987,3661
44589,James Bettman,6.401639,13,12,4,1972,1987,3661
45892,Shelby Mcintyre,6.336885,13,15,6,1977,1987,3661
44434,Edgar Pessemier,6.16448,12,14,5,1967,1987,3661
44801,Michael Houston,7.142076,12,9,3,1972,1987,3661
42414,Michael Etgar,6.291256,12,8,7,1976,1983,3661
42190,George Moschis,6.82377,12,6,7,1977,1987,3661
42191,Elizabeth Hirschman,6.218852,12,10,6,1978,1986,3661
42064,David Stewart,6.36448,12,12,5,1981,1987,3661
41421,Dennis Gensch,6.850819,12,9,5,1972,1987,3661
41354,Roland Rust,6.357103,12,13,6,1979,1987,3661
40964,Subhash Sharma,5.710655,12,21,5,1980,1987,3661
41041,George Day,6.276502,12,10,5,1971,1986,3661
40918,James Wilcox,6.763114,12,12,7,1974,1987,3661
43216,Philip Kotler,6.869398,12,11,7,1969,1985,3661
43774,Roy Howell,6.174043,12,14,7,1979,1987,3661
43898,James Taylor,6.822404,12,9,4,1966,1983,3661
43673,Thomas Kinnear,6.488524,12,10,6,1973,1987,3661
42477,Stephen Brown,7.594262,12,12,6,1976,1986,3661
42626,Michael Etzel,6.556557,12,9,8,1972,1986,3661
42704,Winer Russell,5.839617,12,15,7,1979,1987,3661
42865,Arun Jain,5.83142,12,10,6,1972,1984,3661
42975,James Maclachlan,6.538524,12,10,4,1978,1985,3661
39936,Gene Laczniak,6.68142,12,8,7,1977,1987,3661
39439,Ugur Yavas,7.466666,12,10,4,1977,1987,3661
39027,Jagdish Sheth,6.830601,12,11,6,1968,1985,3661
38567,Jack Engledow,6.662841,12,5,8,1977,1986,3661
38653,John Stanton,8.626775,12,9,6,1974,1987,3661
38722,Paul Farris,6.620491,12,7,5,1975,1987,3661
38162,Franklin Acito,5.701092,12,13,5,1979,1987,3661
38185,Mitchell Terence,16.534972,12,10,2,1976,1984,3661
37765,Howard Thomas,10.013387,12,10,7,1971,1987,3661
53053,K Prahalad,7.374316,12,5,5,1976,1986,3661
37777,Roger Calantone,6.804098,11,15,6,1978,1985,3661
37465,Abraham Charnes,7.185245,11,15,3,1972,1986,3661
38122,Albert Page,7.735245,11,10,7,1971,1987,3661
37974,Douglas Carroll,6.454644,11,7,5,1978,1987,3661
37986,Robert Winkler,6.755464,11,19,2,1972,1986,3661
38160,Philippe Cattin,5.97377,11,11,5,1976,1984,3661
38376,B Wilkinson,7.118852,11,9,7,1973,1986,3661
38306,Albert Wildt,5.968306,11,12,7,1968,1987,3661
38545,Thomas Bonoma,7.295628,11,5,6,1977,1984,3661
38802,Larry Cummings,8.371857,11,14,5,1976,1984,3661
40244,James Lumpkin,7.135519,11,7,7,1982,1987,3661
42868,David Reibstein,6.09153,11,12,7,1979,1986,3661
42806,Richard Hansen,6.833333,11,7,6,1972,1985,3661
42793,Albert Bruno,6.420491,11,7,9,1974,1986,3661
43142,Robert Shoemaker,6.143989,11,9,5,1975,1987,3661
43158,Ronald Bush,7.26448,11,8,5,1974,1979,3661
40934,Larry Rosenberg,6.404098,11,7,9,1971,1986,3661
40796,C Ferrell,6.696721,11,9,4,1977,1987,3661
41018,Whan Park,6.947267,11,11,5,1977,1987,3661
41688,John Quelch,7.125956,11,9,5,1981,1987,3661
44723,Michael Mazis,6.205737,11,12,4,1973,1986,3661
45417,Robert Buzzell,6.820765,11,12,6,1965,1985,3661
43967,Neil Ford,7.05601,11,7,3,1970,1985,3661
44676,John Hauser,6.460655,11,12,6,1979,1986,3661
44595,Gerald Gorn,7.026502,10,5,2,1974,1987,3661
44161,Subrata Sen,6.83989,10,7,5,1973,1983,3661
45424,Andris Zoltners,6.736338,10,10,2,1976,1986,3661
44910,Rakesh Sarin,7.127049,10,10,3,1979,1987,3661
41476,Wilton Anderson,7.039344,10,7,5,1972,1984,3661
41601,Johny Johansson,6.728688,10,9,6,1976,1987,3661
42114,Bruce Stern,7.286612,10,8,6,1971,1984,3661
42254,Jay Klompmaker,6.796721,10,7,5,1976,1981,3661
42455,George Szybillo,7.143169,10,9,4,1973,1979,3661
41258,Dick Wittink,6.262568,10,8,4,1975,1987,3661
40848,James Ginter,5.971584,10,13,8,1972,1987,3661
40620,Fred Morgan,7.648087,10,8,8,1979,1986,3661
40659,Marvin Jolson,6.99836,10,11,6,1971,1987,3661
40718,Patrick Kelly,7.797814,10,9,6,1975,1986,3661
43944,Arthur Brief,7.022131,10,5,5,1975,1987,3661
42592,Franklin Houston,7.831147,10,8,6,1974,1987,3661
40285,William Rudelius,6.790163,10,15,7,1977,1986,3661
39854,Michael Czinkota,7.311202,10,6,5,1979,1987,3661
40178,Alan Bush,6.495081,10,10,6,1983,1987,3661
39740,Isabella Cunningham,7.426229,10,9,8,1973,1983,3661
38746,Richard Hise,8.19153,10,7,7,1976,1983,3661
37466,William Cooper,7.185519,10,14,3,1973,1986,3661
37806,Moskowitz Herbert,7.546448,10,12,3,1972,1986,3661
53137,Robert Hayes,7.972131,10,9,2,1974,1986,3661
50671,Frank Yates,18.513661,10,10,1,1975,1987,3661
50702,Robert Pritchard,17.528142,10,11,1,1973,1985,3661
66528,Weitz Barton,6.379781,10,11,4,1977,1987,3661
50926,Ilgen Daniel,17.517486,9,11,2,1974,1985,3661
37527,William Berry,8.416666,9,10,2,1972,1987,3661
37530,Gregory Northcraft,9.309836,9,4,3,1984,1987,3661
38127,Fred Glover,8.716393,9,10,2,1972,1986,3661
38129,Auken Van,8.694808,9,5,4,1978,1986,3661
38911,Wilbur Lewellen,11.693169,9,9,5,1972,1987,3661
40220,Thomas Ingram,6.50601,9,7,6,1982,1986,3661
39993,Robert Cooper,7.08224,9,5,6,1977,1987,3661
40281,Lawrence Chonko,6.655464,9,7,6,1983,1987,3661
40311,Steven Skinner,6.55765,9,10,6,1980,1986,3661
40601,Samuel Rabino,11.387431,9,5,6,1980,1987,3661
42597,Richard Oliver,6.034153,9,8,7,1977,1987,3661
43415,William Cunningham,7.327322,9,7,6,1972,1977,3661
43424,Claude Martin,7.183606,9,5,4,1974,1987,3661
43151,Scott Neslin,6.495355,9,9,7,1983,1987,3661
43275,Jeffrey Arpan,7.156557,9,9,2,1974,1986,3661
43273,John Howard,7.213661,9,7,7,1971,1980,3661
41218,Benson Shapiro,7.459562,9,8,2,1976,1987,3661
41060,Thomas Whipple,7.419945,9,9,7,1971,1987,3661
41062,Robert Hite,8.851092,9,3,5,1985,1987,3661
42465,Eric Reidenbach,7.174043,9,9,5,1981,1987,3661
42411,William Motes,7.804918,9,5,5,1979,1987,3661
42382,Alan Resnik,7.105191,9,8,6,1977,1983,3661
41623,David Montgomery,6.275136,9,12,4,1970,1987,3661
41631,Dan Horsky,6.194808,9,12,5,1978,1987,3661
41853,John Burnett,6.320765,9,8,8,1979,1987,3661
45100,Birger Wernerfelt,7.12295,9,9,5,1985,1987,3661
45248,John Nevin,6.781693,9,5,4,1974,1985,3661
45286,Jehoshua Eliashberg,6.330601,9,11,4,1978,1987,3661
45442,Prakash Sethi,9.878415,9,9,4,1969,1986,3661
45319,Alvin Silk,6.452459,9,9,4,1971,1983,3661
44653,Kenneth Coney,7.260655,9,7,5,1974,1983,3661
44660,Paul Bloom,6.902185,9,10,5,1973,1986,3661
46169,Peter Wright,7.283606,9,5,2,1973,1980,3661
48209,Joseph Thomas,7.215573,9,12,2,1977,1986,3661
48465,James Emshoff,9.303005,9,6,3,1975,1980,3661
48466,Ralph Kilmann,10.13142,9,8,3,1975,1986,3661
50122,Marcel Corstjens,8.663114,9,4,5,1979,1985,3661
48660,Richard Cosier,8.312841,8,5,5,1977,1985,3661
47868,Gerald Brown,12.572677,8,8,1,1977,1987,3661
48051,Wade Cook,8.683606,8,6,1,1978,1986,3661
47634,Neale Margaret,9.037431,8,4,1,1985,1987,3661
45630,Louis Boone,7.635245,8,7,4,1971,1987,3661
45861,Roger Heeler,6.53142,8,11,3,1971,1980,3661
44650,John Mccann,6.266666,8,8,4,1977,1986,3661
44618,Paul Peter,6.513387,8,6,3,1975,1986,3661
44677,Glen Urban,6.867486,8,9,4,1970,1986,3661
44184,Joel Huber,6.433606,8,6,4,1979,1986,3661
44084,Hugh Guffey,6.833333,8,11,4,1972,1983,3661
44286,R Brent,8.699726,8,7,5,1975,1985,3661
44674,William Wilkie,6.316666,8,9,3,1973,1984,3661
44746,John Payne,6.553825,8,9,4,1978,1986,3661
41360,James Brown,6.416393,8,7,5,1981,1987,3661
42385,William Lundstrom,6.727322,8,7,5,1976,1983,3661
42206,David Furse,6.63142,8,4,4,1975,1984,3661
41042,Adrian Ryans,6.711202,8,3,4,1977,1987,3661
41230,Richard Bagozzi,6.08306,8,8,4,1978,1987,3661
41268,John Claxton,9.695628,8,5,4,1971,1984,3661
41296,Naresh Malhotra,5.820218,8,13,5,1979,1987,3661
41178,David Wilemon,8.634153,8,5,5,1970,1986,3661
41127,Pradeep Korgaonkar,7.120765,8,7,6,1980,1987,3661
40852,Ralph Day,6.251639,8,11,4,1977,1987,3661
40834,Robert Headen,6.68989,8,5,4,1976,1981,3661
40810,Ephraim Sudit,8.319945,8,6,5,1978,1982,3661
40970,Charles Patti,7.676775,8,4,4,1979,1985,3661
40916,Gerald Zaltman,6.802185,8,4,3,1974,1984,3661
43152,Darral Clarke,6.30683,8,10,4,1972,1987,3661
43405,James Myers,7.045355,8,7,3,1968,1975,3661
43655,Marvin Goldberg,7.540437,8,3,2,1970,1987,3661
42581,Michael Ray,6.612295,8,6,3,1971,1986,3661
42496,Robert Leone,6.342076,8,9,4,1980,1986,3661
42583,Paul Solomon,7.444808,8,6,5,1975,1984,3661
43092,Scott Ward,7.363114,8,8,4,1972,1987,3661
40594,David Rink,7.104918,8,6,6,1978,1985,3661
40149,Michael Harvey,6.771038,8,5,4,1974,1985,3661
38748,Michael Geurts,8.955464,8,5,3,1972,1980,3661
39798,Johan Arndt,7.559289,8,6,4,1975,1981,3661
38585,Richard Mason,10.683879,8,4,5,1973,1987,3661
38347,Thomas Morton,9.620491,8,9,2,1974,1987,3661
38443,Dale Achabal,6.122677,8,10,3,1980,1987,3661
38128,Subhash Lonial,8.695081,8,4,4,1978,1986,3661
38042,Dalton Dan,11.846721,8,2,3,1979,1986,3661
37976,Robert Carbone,7.009016,8,9,2,1976,1986,3661
37636,William King,11.128142,8,7,4,1973,1983,3661
50741,Terry Beehr,13.655464,8,6,2,1978,1985,3661
52089,Edward Lawler,10.795628,8,7,3,1971,1986,3661
53483,William Abernathy,8.337704,8,7,3,1971,1981,3661
54041,Peter Lorange,10.430054,8,6,3,1974,1987,3661
66586,Douglas Susan,6.15601,8,9,3,1967,1985,3661
66701,David Schmittlein,6.73306,7,4,4,1980,1987,3661
50173,Karlene Roberts,8.070491,7,8,4,1973,1985,3661
51645,Richard Hackman,9.847267,7,8,2,1971,1978,3661
56005,Bruce Grady,7.352732,7,5,3,1970,1987,3661
37531,Gerrit Wolf,8.577049,7,8,3,1978,1984,3661
37731,Mabert Vincent,11.568579,7,6,3,1972,1986,3661
37866,Wilpen Gorr,6.268852,7,9,3,1981,1986,3661
38343,Andrew Whinston,7.386612,7,5,2,1975,1982,3661
38587,George Huber,8.760655,7,5,5,1964,1987,3661
38594,Roscoe Davis,9.85683,7,5,3,1976,1985,3661
38654,Jeffrey Lowenhar,9.625409,7,3,4,1974,1979,3661
38705,Ramon Aldag,7.971311,7,3,4,1975,1986,3661
39827,Jack Kasulis,6.888251,7,7,5,1979,1984,3661
39073,James Hlavacek,11.259289,7,5,6,1976,1986,3661
38787,Daniel Robey,7.920218,7,4,4,1977,1986,3661
38739,Gabriel Bitran,8.177049,7,9,2,1977,1987,3661
38719,James Reinmuth,7.957923,7,4,2,1972,1977,3661
38966,Raymond Laforge,8.930874,7,6,4,1982,1986,3661
38967,David Cravens,9.928688,7,5,5,1973,1986,3661
40007,Chatrathi Rao,6.751912,7,7,5,1974,1985,3661
40575,Donald Michie,6.84153,7,5,4,1979,1985,3661
40538,David Wilson,8.814207,7,6,5,1972,1987,3661
40223,Roger Dickinson,6.480054,7,11,7,1982,1986,3661
42974,Priscilla Labarbera,7.162568,7,5,4,1978,1987,3661
43003,Dan Robertson,6.828688,7,5,4,1974,1978,3661
42814,Arthur Adams,9.146721,7,5,3,1979,1987,3661
42861,Terry Childers,7.068579,7,6,4,1979,1987,3661
42878,Robert Wilkes,6.895628,7,5,6,1974,1986,3661
42627,Barnett Greenberg,6.640983,7,7,4,1975,1985,3661
42781,Kelly Shuptrine,7.790983,7,6,5,1974,1981,3661
43537,Monroe Kent,7.349453,7,9,4,1975,1987,3661
43876,William Todor,10.84754,7,4,3,1979,1986,3661
43872,Brian Toyne,7.156557,7,9,2,1977,1984,3661
40794,Luis Dominguez,7.150273,7,4,4,1971,1981,3661
40833,Harper Boyd,6.721857,7,7,2,1964,1978,3661
40710,Joseph Hair,7.077322,7,8,5,1976,1985,3661
41057,Jon Hawes,7.47459,7,5,5,1984,1987,3661
41082,Manohar Kalwani,6.32459,7,7,3,1977,1986,3661
42207,Gary Armstrong,7.525136,7,7,6,1975,1983,3661
42268,Melvin Crask,7.065573,7,6,5,1977,1984,3661
42426,Roy Moore,7.82295,7,2,5,1975,1984,3661
42430,James Leigh,6.687704,7,8,5,1984,1987,3661
41506,William Cron,6.581147,7,6,6,1979,1987,3661
41718,Gary Frazier,6.577049,7,5,3,1979,1986,3661
42103,Mark Alpert,6.320491,7,7,5,1972,1987,3661
44758,Dipankar Chakravarti,6.295901,7,10,3,1979,1986,3661
44715,Lynn Phillips,6.609836,7,9,3,1977,1983,3661
45310,Tyzoon Tyebjee,7.018032,7,3,7,1981,1986,3661
45446,Stephen Greyser,7.217759,7,7,3,1974,1987,3661
45413,Murphy Sewall,7.689617,7,4,3,1976,1987,3661
44997,Leonard Lodish,6.141256,7,10,4,1978,1987,3661
44272,Patrick Murphy,6.695901,7,8,4,1978,1987,3661
44232,James Donnelly,6.409836,7,6,4,1972,1984,3661
44040,Alan Sawyer,6.425136,7,9,4,1971,1985,3661
44192,Yalch Richard,6.35,7,11,3,1976,1984,3661
44640,Frederick Sturdivant,6.514754,7,8,6,1973,1987,3661
44649,Brian Ratchford,6.046994,7,9,4,1976,1987,3661
45643,Leon Schiffman,7.74071,7,8,4,1974,1984,3661
45468,M Venkatesan,7.685792,7,7,3,1968,1986,3661
46031,Max Bazerman,8.109836,7,14,4,1981,1986,3661
46100,Moshe Givon,6.410928,7,8,4,1978,1987,3661
46742,James Terborg,18.51448,7,4,3,1975,1985,3661
47600,William Ziemba,9.623497,7,8,1,1974,1987,3661
47350,James Taylor,8.34918,7,7,6,1972,1987,3661
47829,Hausman Warren,9.721857,7,8,2,1972,1982,3661
49759,Hau Lee,8.306284,7,7,3,1985,1987,3661
49741,Richard Bettis,6.38224,6,7,3,1981,1987,3661
49874,Howard Kunreuther,8.629508,6,12,2,1973,1986,3661
49387,Mel Horwitch,8.371311,6,4,3,1976,1987,3661
49394,Thomas Naylor,8.110109,6,5,3,1976,1985,3661
48782,John Mcclain,6.907377,6,9,2,1975,1986,3661
48269,Gerald Thompson,10.616666,6,8,2,1980,1986,3661
48462,Shmuel Oren,6.829234,6,9,3,1979,1986,3661
47227,Richard Morey,7.11612,6,6,1,1972,1986,3661
47120,Ronald Stiff,7.562568,6,7,4,1976,1987,3661
47683,Weide Vander,11.08142,6,5,1,1976,1982,3661
47722,Rothkopf Michael,7.705191,6,7,3,1971,1986,3661
47503,Graves Stephen,9.661748,6,8,1,1977,1986,3661
46517,Melanie Wallendorf,6.79754,6,3,4,1980,1987,3661
46657,Jan Muczyk,8.37377,6,3,4,1974,1987,3661
46061,Ikujiro Nonaka,7.037431,6,5,5,1979,1987,3661
45459,John Czepiel,6.926502,6,7,6,1976,1985,3661
45540,Charles Lillis,7.433606,6,6,4,1974,1987,3661
45966,Michael Mcginnis,8.374316,6,5,2,1976,1984,3661
44623,Donald Granbois,7.04754,6,6,3,1973,1983,3661
44624,Frank Carmone,6.595901,6,2,2,1969,1981,3661
44678,Dov Pekelman,6.955191,6,4,3,1974,1979,3661
44704,Gordon Mcdougall,9.695901,6,4,5,1974,1985,3661
44587,Joseph Fry,10.692896,6,4,5,1970,1975,3661
44443,Wayne Talarzyk,6.449726,6,6,4,1972,1983,3661
44480,Girish Punj,6.351092,6,4,3,1978,1984,3661
44261,Glen Riecken,7.604371,6,3,4,1981,1985,3661
44972,Robert Westbrook,6.590437,6,5,3,1978,1985,3661
45262,Gerald Goodhardt,11.102185,6,2,2,1967,1979,3661
45251,Charles Ingene,6.739617,6,4,3,1980,1987,3661
45340,Adel Ansary,8.58989,6,9,4,1974,1977,3661
45350,Abel Jeuland,6.48306,6,7,4,1976,1986,3661
44701,Christopher Lovelock,6.566666,6,8,5,1976,1983,3661
44773,Joel Cohen,7.132786,6,6,2,1970,1987,3661
44791,Peter Reingen,7.4153,6,4,2,1977,1987,3661
44817,Irwin Levin,7.580874,6,10,3,1983,1987,3661
44852,Gary Mauser,7.391256,6,4,2,1982,1986,3661
42095,Robert Dyer,7.22295,6,3,4,1974,1980,3661
42045,Debra Scammon,7.909289,6,3,3,1981,1986,3661
41699,Van Wood,7.484426,6,10,6,1985,1987,3661
41486,Hubert Gatignon,6.554918,6,4,4,1984,1987,3661
41589,Erin Anderson,6.466393,6,6,4,1986,1987,3661
42384,Christie Paksoy,7.461748,6,5,5,1977,1986,3661
42404,Linda Golden,6.491256,6,8,6,1974,1987,3661
42249,Robert Pitts,7.24153,6,6,4,1977,1986,3661
42221,Dean Krugman,6.780601,6,6,3,1978,1987,3661
42272,Chris Allen,7.108743,6,7,4,1980,1985,3661
42286,John Rossiter,7.367486,6,4,4,1974,1982,3661
42192,Thomas Madden,7.395081,6,5,4,1982,1986,3661
41066,Rajendra Srivastava,6.457377,6,6,4,1979,1986,3661
41045,Ronald Tatham,7.596994,6,5,4,1973,1979,3661
41015,Gary Ford,6.14153,6,9,4,1976,1986,3661
41012,William Swinyard,7.05765,6,5,5,1977,1987,3661
40994,Janet Keith,7.605464,6,8,6,1983,1986,3661
41148,James Anderson,8.278961,6,4,5,1980,1986,3661
41191,Roger Best,7.096448,6,5,4,1974,1987,3661
40652,Paul Anderson,9.641256,6,5,3,1977,1986,3661
40592,Jean Choffray,7.847267,6,2,4,1978,1986,3661
40864,Igal Ayal,8.56448,6,6,6,1978,1986,3661
40792,Eric Berkowitz,6.252459,6,7,4,1977,1980,3661
40984,Paul Hugstad,8.350273,6,3,4,1977,1987,3661
43874,Vandra Huber,9.849453,6,5,2,1984,1987,3661
43834,Robert Dwyer,7.288524,6,7,3,1978,1987,3661
43936,Lawrence Crosby,7.718306,6,4,3,1981,1987,3661
43866,Lawrence Wortzel,7.917759,6,6,5,1966,1987,3661
43201,Michael Perry,9.307923,6,4,3,1969,1976,3661
43360,Richard Cardozo,6.793989,6,8,4,1971,1987,3661
43357,Joseph Newman,6.682513,6,4,4,1971,1978,3661
42746,Robert Settle,6.655737,6,7,3,1972,1982,3661
42701,Assael Henry,7.90601,6,7,4,1972,1987,3661
42726,Kevin Clancy,6.067213,6,16,4,1976,1984,3661
42727,Stephen Mcdaniel,6.93224,6,8,5,1980,1987,3661
42529,H Bonfield,6.886065,6,7,4,1975,1985,3661
42530,Warren Martin,6.872677,6,8,5,1976,1984,3661
42555,Zarrel Lambert,6.679781,6,6,4,1975,1985,3661
42930,Lyman Ostlund,6.871584,6,6,3,1972,1985,3661
42815,Mark Moriarty,8.630327,6,3,3,1978,1984,3661
42811,Jacob Hornik,8.072404,6,5,5,1981,1986,3661
42833,Ivan Preston,6.653825,6,7,2,1976,1984,3661
40306,Stephen Goldberg,6.039344,6,8,4,1981,1984,3661
40401,Terry Deutscher,6.752459,6,5,4,1976,1982,3661
40553,William Staples,7.884699,6,3,3,1976,1981,3661
40574,Stanley Sibley,7.735245,6,2,3,1979,1985,3661
40576,Kenneth Teas,8.186065,6,5,4,1979,1986,3661
40522,Thomas Hustad,6.268579,6,4,5,1973,1982,3661
39037,Alladi Venkatesh,8.114754,6,4,6,1976,1987,3661
38731,Kenneth Baker,12.078142,6,6,2,1977,1986,3661
38834,Frederick Russ,7.600546,6,5,5,1975,1983,3661
39187,Robert Spekman,6.563661,6,5,4,1977,1986,3661
39684,Hans Thorelli,7.21612,6,6,5,1973,1985,3661
39639,Schul Patrick,6.84918,6,5,5,1978,1985,3661
38598,Rosann Spiro,7.782786,6,3,6,1976,1986,3661
38569,Helmut Becker,7.400819,6,3,5,1978,1980,3661
38305,Terry Connolly,9.573497,6,6,3,1977,1987,3661
38154,Richard Becherer,7.712021,6,5,5,1977,1983,3661
38175,Donald Stem,7.428415,6,7,5,1977,1985,3661
37873,Dean Kropp,6.911202,6,6,2,1979,1986,3661
37874,Robert Carlson,7.873224,6,5,2,1979,1986,3661
37961,James Patterson,9.643442,6,4,1,1974,1986,3661
37989,Robin Hogarth,7.609016,6,7,4,1976,1987,3661
38011,Lucas Henry,7.061202,6,5,3,1972,1982,3661
38132,Robert Britney,6.763661,6,9,4,1972,1987,3661
38119,Jeffrey Miller,7.956557,6,14,3,1975,1985,3661
37634,Robert Harmon,7.532513,6,6,4,1979,1984,3661
55761,Russell Ackoff,10.301639,6,3,2,1975,1984,3661
51921,Benson Rosen,11.358743,6,3,3,1974,1983,3661
51496,Lawrence Peters,18.525136,6,4,2,1974,1983,3661
52635,James Post,8.883606,6,6,2,1977,1983,3661
65755,Hanssens Dominique,7.145355,6,6,4,1980,1987,3661
65984,Wayne Hoyer,6.703005,6,9,4,1982,1986,3661
66139,Kluyver De,7.163387,5,3,5,1978,1987,3661
66696,Shelby Hunt,7.522677,5,7,3,1982,1985,3661
53619,Yves Doz,8.371857,5,4,4,1980,1984,3661
53218,Richard Nolan,8.969672,5,5,1,1973,1975,3661
52535,Christopher Bartlett,8.371584,5,4,3,1981,1987,3661
52274,Barry Baysinger,9.140437,5,3,4,1981,1984,3661
51211,Stephen Green,15.568852,5,7,1,1977,1986,3661
51843,Kenneth Thomas,10.307103,5,3,3,1976,1982,3661
56759,Daniel Batson,10.055464,5,13,1,1986,1987,3661
55896,Patrick Robinson,6.786065,5,4,2,1965,1968,3661
37566,Lawrence Jauch,10.707923,5,2,3,1975,1986,3661
37519,Larry Ritzman,7.144535,5,6,3,1976,1987,3661
